Name,Nationality,Current Rank,Previous Year Rank,Sport,earnings ($ million)
Oscar De La Hoya,USA,2,11,BOXING,43.0
Phil Mickelson,USA,3,4,GOLF,42.0
Kimi Raikkonen,Finland,4,11,AUTO RACING (F1),40.0
Michael Schumacher,Germany,5,2,AUTO RACING (F1),36.0
David Beckham,UK,6,11,SOCCER,33.0
Kobe Bryant,USA,6,11,BASKETBALL,33.0
Shaquille O'Neal,USA,8,7,BASKETBALL,32.0
Ronaldinho,Brazil,9,11,SOCCER,31.0
Michael Jordan,USA,9,5,BASKETBALL,31.0
Tiger Woods,USA,1,1,GOLF,115.0
David Beckham,UK,2,6,SOCCER,50.0
Michael Jordan,USA,3,9,BASKETBALL,45.0
Phil Mickelson,USA,3,3,GOLF,45.0
Kimi Raikkonen,Finland,5,4,AUTO RACING (F1),44.0
Kobe Bryant,USA,6,7,BASKETBALL,39.0
LeBron James,USA,7,11,BASKETBALL,38.0
Ronaldinho,Brazil,8,9,SOCCER,37.0
Valentino Rossi,Italy,9,11,MOTORCYCLE GP,35.0
Roger Federer,Switzerland,9,11,TENNIS,35.0
Tiger Woods,USA,1,1,GOLF,110.0
Kobe Bryant,USA,2,6,BASKETBALL,45.0
Michael Jordan,USA,2,3,BASKETBALL,45.0
Kimi Raikkonen,Finland,2,5,AUTO RACING (F1),45.0
David Beckham,UK,5,2,SOCCER,42.0
LeBron James,USA,6,7,BASKETBALL,40.0
Phil Mickelson,USA,6,3,GOLF,40.0
Manny Pacquiao,Philippines,6,11,BOXING,40.0
Valentino Rossi,Italy,9,9,MOTORCYCLE GP,35.0
Dale Earnhardt Jr.,USA,10,11,AUTO RACING (NASCAR),34.0
Tiger Woods,USA,1,1,GOLF,105.0
Floyd Mayweather,USA,2,11,BOXING,65.0
Kobe Bryant,USA,3,2,BASKETBALL,48.0
Phil Mickelson,USA,4,6,GOLF,46.0
David Beckham,UK,5,5,SOCCER,43.7
Roger Federer,Switzerland,6,11,TENNIS,43.0
LeBron James,USA,7,6,BASKETBALL,42.8
Manny Pacquiao,Philippines,8,6,BOXING,42.0
Eli Manning,USA,9,11,AMERICAN FOOTBALL,39.9
Terrell Suggs,USA,10,11,AMERICAN FOOTBALL,38.3
Tiger Woods,USA,1,1,GOLF,75.0
Kobe Bryant,USA,2,3,BASKETBALL,53.0
LeBron James,USA,3,7,BASKETBALL,48.0
Roger Federer,Switzerland,4,6,TENNIS,47.0
Phil Mickelson,USA,5,4,GOLF,46.5
David Beckham,UK,6,5,SOCCER,40.0
Cristiano Ronaldo,Portugal,7,13,SOCCER,38.0
Alex Rodriguez,Dominican,8,12,BASEBALL,35.0
Michael Schumacher,Germany,9,21,AUTO RACING (F1),34.0
Lionel Messi,Argentina,10,21,SOCCER,32.3
Floyd Mayweather,USA,1,0,BOXING,85.0
Manny Pacquiao,Philippines,2,24,BOXING,62.0
Tiger Woods,USA,3,1,GOLF,59.4
LeBron James,USA,4,3,BASKETBALL,53.0
Roger Federer,Switzerland,5,4,TENNIS,52.7
Kobe Bryant,USA,6,2,BASKETBALL,52.3
Phil Mickelson,USA,7,5,GOLF,47.8
David Beckham,UK,8,6,SOCCER,46.0
Cristiano Ronaldo,Portugal,9,21,SOCCER,42.5
Peyton Manning,USA,10,7,AMERICAN FOOTBALL,42.4
Tiger Woods,USA,1,3,GOLF,78.1
Roger Federer,Switzerland,2,5,TENNIS,71.5
Kobe Bryant,USA,3,6,BASKETBALL,61.9
LeBron James,USA,4,4,BASKETBALL,59.8
Drew Brees,USA,5,0,AMERICAN FOOTBALL,51.0
Aaron Rodgers,USA,6,0,AMERICAN FOOTBALL,49.0
Phil Mickelson,USA,7,7,GOLF,48.7
David Beckham,UK,8,8,SOCCER,47.2
Cristiano Ronaldo,Portugal,9,9,SOCCER,44.0
Lionel Messi,Argentina,10,11,SOCCER,41.3
Floyd Mayweather,USA,1,14,BOXING,105.0
Cristiano Ronaldo,Portugal,2,9,SOCCER,80.0
LeBron James,USA,3,4,BASKETBALL,72.3
Lionel Messi,Argentina,4,10,SOCCER,64.7
Kobe Bryant,USA,5,3,BASKETBALL,61.5
Tiger Woods,USA,6,1,GOLF,61.2
Roger Federer,Switzerland,7,2,TENNIS,56.2
Phil Mickelson,USA,8,7,GOLF,53.2
Rafael Nadal,Spain,9,15,TENNIS,44.5
Matt Ryan,USA,10,110,AMERICAN FOOTBALL,43.8
Floyd Mayweather,USA,1,1,BOXING,300.0
Manny Pacquiao,Philippines,2,11,BOXING,160.0
Cristiano Ronaldo,Portugal,3,2,SOCCER,79.6
Lionel Messi,Argentina,4,4,SOCCER,73.8
Roger Federer,Switzerland,5,7,TENNIS,67.0
LeBron James,USA,6,3,BASKETBALL,64.8
Kevin Durant,USA,7,20,BASKETBALL,54.2
Phil Mickelson,USA,8,8,GOLF,50.8
Tiger Woods,USA,9,6,GOLF,50.6
Kobe Bryant,USA,10,5,BASKETBALL,49.5
Cristiano Ronaldo,Portugal,1,3,SOCCER,88.0
Lionel Messi,Argentina,2,4,SOCCER,81.4
LeBron James,USA,3,6,BASKETBALL,77.2
Roger Federer,Switzerland,4,5,TENNIS,67.8
Kevin Durant,USA,5,7,BASKETBALL,56.2
Novak Djokovic,Serbia,6,13,TENNIS,55.8
Cam Newton,USA,7,21,AMERICAN FOOTBALL,53.1
Phil Mickelson,USA,8,8,GOLF,52.9
Jordan Spieth,USA,9,21,GOLF,52.8
Kobe Bryant,USA,10,10,BASKETBALL,50.0
Cristiano Ronaldo,Portugal,1,1,SOCCER,93.0
LeBron James,USA,2,3,BASKETBALL,86.2
Lionel Messi,Argentina,3,2,SOCCER,80.0
Roger Federer,Switzerland,4,4,TENNIS,64.0
Kevin Durant,USA,5,5,BASKETBALL,60.6
Andrew Luck,USA,6,,AMERICAN FOOTBALL,50.0
Rory McIlroy,Northern Ireland,6,17,GOLF,50.0
Stephen Curry,USA,8,,BASKETBALL,47.3
James Harden,USA,9,,BASKETBALL,46.6
Lewis Hamilton,UK,10,,AUTO RACING,46.0
Floyd Mayweather,USA,1,110,BOXING,285.0
Lionel Messi,Argentina,2,3,SOCCER,111.0
Cristiano Ronaldo,Portugal,3,1,SOCCER,108.0
Conor McGregor,Ireland,4,24,MMA,99.0
Neymar,Brazil,5,18,SOCCER,90.0
LeBron James,USA,6,2,BASKETBALL,85.5
Roger Federer,Switzerland,7,4,TENNIS,77.2
Stephen Curry,USA,8,8,BASKETBALL,76.9
